,Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
383,LOGZ,rf0427,-0.25277,-0.3121,-0.00224,-0.4044,0.12302,Y,Y,N,N,0.0,0.0,N,N,1,159
384,LOGQ,rf0428,7.32268,7.26507,7.49552,7.19305,7.63955,Y,Y,N,N,0.0,0.0,N,N,1,48
385,LOGZ,rf0428,-0.45715,-0.52307,-0.30551,-0.5956,-0.16706,Y,Y,N,N,0.0,0.0,N,N,1,128
386,LOGQ,rf0430,7.48112,7.4091,7.7979899999999995,7.30828,8.04284,Y,Y,N,N,0.0,0.0,N,N,1,70
387,LOGZ,rf0430,-0.47693,-0.54285,-0.21320999999999998,-0.63515,-0.0418,Y,Y,N,N,0.0,0.0,N,N,1,125
388,LOGQ,rf0431,7.4235,7.365889999999999,7.5819399999999995,7.29387,7.7403699999999995,Y,Y,N,N,0.0,0.0,N,N,1,62
389,LOGZ,rf0431,-0.5362600000000001,-0.62197,-0.39781,-0.70108,-0.24618,Y,Y,N,N,0.0,0.0,N,N,1,116
390,LOGQ,rf0432,7.041810000000001,7.01301,7.19305,6.9842,7.351489999999999,Y,Y,N,N,0.05221,0.0,N,N,1,9
391,LOGZ,rf0432,-0.37803000000000003,-0.43737,-0.23299,-0.50989,-0.09454,Y,Y,N,N,0.0,0.0,N,N,1,140
392,LOGQ,rf0433,6.9914,7.00581,7.236260000000001,-inf,7.517119999999999,N,Y,Y,N,0.07787000000000001,0.0,N,N,1,2
393,LOGZ,rf0433,-0.34507,-0.411,-0.14069,-0.49011000000000005,0.09006,Y,Y,N,N,0.0,0.0,N,N,1,145
394,LOGQ,rf0434,7.3947,7.33708,7.63955,7.257860000000001,7.87,Y,Y,N,N,0.0,0.0,N,N,1,58
395,LOGZ,rf0434,-0.50989,-0.57582,-0.3121,-0.6483399999999999,-0.11432,Y,Y,N,N,0.0,0.0,N,N,1,120
396,LOGQ,rf0436,7.27227,7.18585,7.49552,7.09943,7.8412,Y,Y,N,N,0.00011,0.0,N,N,1,41
397,LOGZ,rf0436,-0.50989,-0.58241,-0.3187,-0.6681199999999999,-0.048389999999999996,Y,Y,N,N,0.0,0.0,N,N,1,120
398,LOGQ,rf0439,7.4307,7.365889999999999,7.574739999999999,7.301069999999999,7.725969999999999,Y,Y,N,N,0.0,0.0,N,N,1,63
399,LOGZ,rf0439,-0.70767,-0.78679,-0.57582,-0.85272,-0.41758999999999996,Y,Y,N,N,0.0,0.0,N,N,1,90
400,LOGQ,rf0441,7.38749,7.32268,7.54593,7.257860000000001,7.71157,Y,Y,N,N,0.0,0.0,N,N,1,57
401,LOGZ,rf0441,-0.56922,-0.6483399999999999,-0.43078,-0.72745,-0.28573000000000004,Y,Y,N,N,0.0,0.0,N,N,1,111
402,LOGQ,rf0448,7.01301,6.9986,7.1642399999999995,-inf,7.29387,Y,Y,N,N,0.07685,0.0,N,N,1,5
403,LOGZ,rf0448,-0.3187,-0.39121999999999996,-0.19343,-0.45715,-0.08135,Y,Y,N,N,0.0,0.0,N,N,1,149
404,LOGQ,rf0452,6.9914,7.08502,8.32371,6.9914,8.65498,N,Y,Y,N,0.0226,0.00491,N,N,2,2
405,LOGZ,rf0452,0.26147,-0.18025,0.26807,-0.33848,0.29444000000000004,Y,Y,N,N,0.0,0.03505,N,N,2,237
406,LOGQ,rf0453,7.05622,7.0202100000000005,7.243460000000001,6.9842,7.4379100000000005,Y,Y,N,N,0.04003,0.0,N,N,1,11
407,LOGZ,rf0453,-0.33848,-0.4044,-0.18025,-0.47693,-0.015430000000000001,Y,Y,N,N,0.0,0.0,N,N,1,146
408,LOGQ,rf0454,7.17144,7.10663,7.365889999999999,7.034610000000001,7.55313,Y,Y,N,N,0.00198,0.0,N,N,1,27
409,LOGZ,rf0454,-0.38463,-0.43737,-0.20661999999999997,-0.50989,-0.054979999999999994,Y,Y,N,N,0.0,0.0,N,N,1,139
410,LOGQ,rf0455,7.49552,7.2290600000000005,7.63235,7.027410000000001,7.783580000000001,Y,Y,N,N,0.00698,0.0,N,N,2,72
411,LOGZ,rf0455,0.24169000000000002,0.07028,0.26147,-0.20002999999999999,0.28784,Y,Y,N,N,0.0,0.01714,N,N,1,234
412,LOGQ,rf0456,7.07782,7.034610000000001,7.31548,6.9842,7.53873,Y,Y,N,N,0.030789999999999998,0.0,N,N,1,14
413,LOGZ,rf0456,-0.30551,-0.37803000000000003,-0.11432,-0.46374,0.06369,Y,Y,N,N,0.0,2.9999999999999997e-05,N,N,1,151
414,LOGQ,rf0459,7.4163,7.358689999999999,7.54593,7.301069999999999,7.661160000000001,Y,Y,N,N,0.0,0.0,N,N,1,61
415,LOGZ,rf0459,-0.52307,-0.62197,-0.42418,-0.6944899999999999,-0.3121,Y,Y,N,N,0.0,0.0,N,N,1,118
416,LOGQ,rf0460,7.142639999999999,7.034610000000001,7.30828,6.9842,7.473910000000001,Y,Y,N,N,0.03726,0.0,N,N,2,23
417,LOGZ,rf0460,0.043910000000000005,-0.14069,0.10324000000000001,-0.26595,0.17577,Y,Y,N,N,0.0,1e-05,N,N,1,204
418,LOGQ,rf0461,7.4019,7.34428,7.668360000000001,7.257860000000001,7.8412,Y,Y,N,N,0.0,0.0,N,N,1,59
419,LOGZ,rf0461,-0.4967,-0.55604,-0.27914,-0.63515,-0.12090999999999999,Y,Y,N,N,0.0,0.0,N,N,1,122
420,LOGQ,rf0462,7.17865,7.12823,7.32268,7.07062,7.473910000000001,Y,Y,N,N,2.9999999999999997e-05,0.0,N,N,1,28
421,LOGZ,rf0462,-0.52307,-0.58241,-0.37803000000000003,-0.6483399999999999,-0.2198,Y,Y,N,N,0.0,0.0,N,N,1,118
422,LOGQ,rf0463,7.22186,7.07782,7.54593,6.9914,7.733169999999999,Y,Y,N,N,0.02125,0.0,N,N,1,34
423,LOGZ,rf0463,0.19554000000000002,-0.10772999999999999,0.20214000000000001,-0.25936,0.26147,Y,Y,N,N,0.0,0.0018899999999999998,N,N,2,227
424,LOGQ,rf0464,7.76918,7.668360000000001,7.95642,7.574739999999999,8.107660000000001,Y,Y,N,N,0.0,0.0,N,N,1,110
425,LOGZ,rf0464,-0.62856,-0.6944899999999999,-0.44396,-0.7670100000000001,-0.29891999999999996,Y,Y,N,N,0.0,0.0,N,N,1,102
426,LOGQ,rf0465,7.257860000000001,7.18585,7.459510000000001,7.10663,7.668360000000001,Y,Y,N,N,0.0,0.0,N,N,1,39
427,LOGZ,rf0465,-0.45055,-0.50989,-0.25936,-0.58241,-0.06817000000000001,Y,Y,N,N,0.0,0.0,N,N,1,129
428,LOGQ,rf0466,7.12103,7.07062,7.351489999999999,7.00581,7.53153,Y,Y,N,N,0.00868,0.0,N,N,1,20
429,LOGZ,rf0466,-0.33848,-0.4044,-0.1341,-0.47693,0.01754,Y,Y,N,N,0.0,0.0,N,N,1,146
430,LOGQ,rf0467,7.00581,6.9986,7.18585,-inf,7.358689999999999,Y,Y,N,N,0.08054,0.0,N,N,1,4
431,LOGZ,rf0467,-0.29233000000000003,-0.35825,-0.14069,-0.43078,0.00435,Y,Y,N,N,0.0,0.0,N,N,1,153
432,LOGQ,rf0471,7.142639999999999,7.08502,7.38749,7.0202100000000005,7.675560000000001,Y,Y,N,N,0.0039700000000000004,0.0,N,N,1,23
433,LOGZ,rf0471,-0.411,-0.47033,-0.20002999999999999,-0.54945,0.030719999999999997,Y,Y,N,N,0.0,0.0,N,N,1,135
434,LOGQ,rf0473,6.977,7.01301,7.32988,-inf,7.52433,N,Y,Y,N,0.05882999999999999,0.0,N,N,1,0
435,LOGZ,rf0473,-0.23299,-0.29233000000000003,0.06369,-0.39121999999999996,0.17577,Y,Y,N,N,0.0,2e-05,N,N,1,162
436,LOGQ,rf0474,7.459510000000001,7.4019,7.5891399999999996,7.33708,7.689960000000001,Y,Y,N,N,0.0,0.0,N,N,1,67
437,LOGZ,rf0474,-0.52307,-0.57582,-0.38463,-0.6483399999999999,-0.28573000000000004,Y,Y,N,N,0.0,0.0,N,N,1,118
438,LOGQ,rf0476,7.149839999999999,7.08502,7.32988,7.0202100000000005,7.54593,Y,Y,N,N,0.0037700000000000003,0.0,N,N,1,24
439,LOGZ,rf0476,-0.42418,-0.5033,-0.27914,-0.57582,-0.09454,Y,Y,N,N,0.0,0.0,N,N,1,133
440,LOGQ,rf0477,7.29387,7.2290600000000005,7.3947,7.1642399999999995,7.49552,Y,Y,N,N,0.0,0.0,N,N,1,44
441,LOGZ,rf0477,-0.39781,-0.48352,-0.3121,-0.54945,-0.21320999999999998,Y,Y,N,N,0.0,0.0,N,N,1,137
442,LOGQ,rf0478,7.236260000000001,7.1642399999999995,7.826789999999999,7.04902,8.2949,Y,Y,N,N,0.00215,0.00043,N,N,1,36
443,LOGZ,rf0478,-0.39781,-0.46374,0.024130000000000002,-0.57582,0.15599000000000002,Y,Y,N,N,0.0,2e-05,N,N,2,137
444,LOGQ,rf0479,7.301069999999999,7.243460000000001,7.4163,7.17865,7.53153,Y,Y,N,N,0.0,0.0,N,N,1,45
445,LOGZ,rf0479,-0.52307,-0.58241,-0.38463,-0.6483399999999999,-0.25936,Y,Y,N,N,0.0,0.0,N,N,1,118
446,LOGQ,rf0480,7.027410000000001,7.00581,7.22186,-inf,7.4163,Y,Y,N,N,0.0614,0.0,N,N,1,7
447,LOGZ,rf0480,-0.37803000000000003,-0.44396,-0.17365,-0.5362600000000001,0.01095,Y,Y,N,N,0.0,0.0,N,N,1,140
448,LOGQ,rf0482,7.30828,7.17144,7.48112,7.05622,7.65395,Y,Y,N,N,0.00165,0.0,N,N,1,46
449,LOGZ,rf0482,-0.27914,-0.35825,-0.1275,-0.44396,-0.00224,Y,Y,N,N,0.0,0.0,N,N,1,155
450,LOGQ,rf0485,7.59634,7.517119999999999,7.8628,7.4235,8.20848,Y,Y,N,N,0.0,5e-05,N,N,1,86
451,LOGZ,rf0485,-0.7472300000000001,-0.81316,-0.54945,-0.8856799999999999,-0.23299,Y,Y,N,N,0.0,0.0,N,N,1,84
452,LOGQ,rf0487,7.20745,7.149839999999999,7.358689999999999,7.092230000000001,7.49552,Y,Y,N,N,0.0,0.0,N,N,2,32
453,LOGZ,rf0487,-0.45055,-0.52307,-0.3121,-0.589,-0.17365,Y,Y,N,N,0.0,0.0,N,N,1,129
454,LOGQ,rf0488,7.09943,7.04902,7.31548,6.9914,7.473910000000001,Y,Y,N,N,0.01668,0.0,N,N,1,17
455,LOGZ,rf0488,-0.33188,-0.4044,-0.15388,-0.47693,-0.022019999999999998,Y,Y,N,N,0.0,0.0,N,N,1,147
456,LOGQ,rf0496,7.445110000000001,7.38749,7.60354,7.31548,7.7403699999999995,Y,Y,N,N,0.0,0.0,N,N,1,65
457,LOGZ,rf0496,-0.52307,-0.589,-0.37144,-0.66152,-0.2264,Y,Y,N,N,0.0,0.0,N,N,1,118
458,LOGQ,rf0498,7.29387,7.2290600000000005,7.466710000000001,7.149839999999999,7.725969999999999,Y,Y,N,N,0.0,0.0,N,N,1,44
459,LOGZ,rf0498,-0.6879,-0.7538199999999999,-0.52307,-0.83294,-0.25277,Y,Y,N,N,0.0,0.0,N,N,1,93
460,LOGQ,rf0499,7.19305,7.135439999999999,7.30828,7.07782,7.4163,Y,Y,N,N,0.0,0.0,N,N,1,30
461,LOGZ,rf0499,-0.46374,-0.52967,-0.35166,-0.5956,-0.23958000000000002,Y,Y,N,N,0.0,0.0,N,N,1,127
462,LOGQ,rf0500,6.977,7.041810000000001,7.445110000000001,6.9842,7.59634,N,N,Y,N,0.03748,0.0,N,N,2,0
463,LOGZ,rf0500,0.07028,-0.3121,0.08347,-0.42418,0.14939000000000002,Y,Y,N,N,0.0,0.0,N,N,2,208
464,LOGQ,rf0503,7.18585,7.142639999999999,7.28667,7.092230000000001,7.358689999999999,Y,Y,N,N,0.0,0.0,N,N,2,29
465,LOGZ,rf0503,-0.37144,-0.411,-0.27914,-0.45715,-0.20002999999999999,Y,Y,N,N,0.0,0.0,N,N,1,141
466,LOGQ,rf0505,7.21465,7.157039999999999,7.38749,7.08502,7.56033,Y,Y,N,N,1e-05,0.0,N,N,2,33
467,LOGZ,rf0505,-0.45055,-0.52307,-0.28573000000000004,-0.5956,-0.11432,Y,Y,N,N,0.0,0.0,N,N,1,129
468,LOGQ,rf0507,7.07782,7.041810000000001,7.358689999999999,6.9914,7.5819399999999995,Y,Y,N,N,0.02264,0.0,N,N,1,14
469,LOGZ,rf0507,-0.36485,-0.42418,-0.10772999999999999,-0.5033,0.07687000000000001,Y,Y,N,N,0.0,0.0,N,N,1,142
470,LOGQ,rf0510,7.250660000000001,7.135439999999999,7.64675,7.00581,7.898810000000001,Y,Y,N,N,0.01199,0.0,N,N,1,38
471,LOGZ,rf0510,0.12962,-0.054979999999999994,0.22191999999999998,-0.2264,0.27466,Y,Y,N,N,0.0,0.00596,N,N,2,217
472,LOGQ,rf0513,6.977,7.027410000000001,7.31548,6.9842,7.473910000000001,N,N,Y,N,0.0449,0.0,N,N,2,0
473,LOGZ,rf0513,0.07687000000000001,-0.18684,0.11642999999999999,-0.32529,0.18236,Y,Y,N,N,0.0,1e-05,N,N,1,209
474,LOGQ,rf0518,7.38749,7.32268,7.5819399999999995,7.250660000000001,7.76918,Y,Y,N,N,0.0,0.0,N,N,1,57
475,LOGZ,rf0518,-0.43078,-0.52307,-0.27255,-0.61537,-0.11432,Y,Y,N,N,0.0,0.0,N,N,1,132
476,LOGQ,rf0524,7.07782,7.034610000000001,7.250660000000001,6.9842,7.466710000000001,Y,Y,N,N,0.02585,0.0,N,N,1,14
477,LOGZ,rf0524,-0.47693,-0.55604,-0.3121,-0.63515,-0.09454,Y,Y,N,N,0.0,0.0,N,N,1,125
478,LOGQ,rf0545,6.9842,6.9986,7.17865,-inf,7.38029,N,Y,Y,N,0.10500999999999999,0.0,N,N,1,1
479,LOGZ,rf0545,-0.43737,-0.51648,-0.21320999999999998,-0.60878,0.01095,Y,Y,N,N,0.0,0.0,N,N,1,131
480,LOGQ,rf0607,7.27947,7.19305,7.38749,7.12103,7.52433,Y,Y,N,N,0.0,0.0,N,N,1,42
481,LOGZ,rf0607,-0.39781,-0.47693,-0.29233000000000003,-0.54945,-0.17365,Y,Y,N,N,0.0,0.0,N,N,1,137
482,LOGQ,rf0622,7.29387,7.21465,7.48112,7.12103,7.76918,Y,Y,N,N,2.9999999999999997e-05,0.0,N,N,1,44
483,LOGZ,rf0622,-0.54945,-0.62856,-0.39121999999999996,-0.70767,-0.15388,Y,Y,N,N,0.0,0.0,N,N,1,114
484,LOGQ,rf0630,7.54593,7.466710000000001,7.682760000000001,7.38749,7.826789999999999,Y,Y,N,N,0.0,0.0,N,N,1,79
485,LOGZ,rf0630,-0.70108,-0.7670100000000001,-0.55604,-0.83294,-0.411,Y,Y,N,N,0.0,0.0,N,N,1,91
486,LOGQ,rf0642,7.5891399999999996,7.50992,7.71877,7.4379100000000005,7.8484,Y,Y,N,N,0.0,0.0,N,N,1,85
487,LOGZ,rf0642,-0.61537,-0.6879,-0.47033,-0.76042,-0.33848,Y,Y,N,N,0.0,0.0,N,N,1,104
488,LOGQ,rf0644,7.28667,7.20745,7.61795,7.10663,8.41733,Y,Y,N,N,0.00016999999999999999,0.00072,N,N,2,43
489,LOGZ,rf0644,-0.6879,-0.7736,-0.47033,-0.8725,0.09006,Y,Y,N,N,0.0,0.0,N,N,2,93
490,LOGQ,rf0663,7.459510000000001,7.4019,7.60354,7.33708,7.725969999999999,Y,Y,N,N,0.0,0.0,N,N,1,67
491,LOGZ,rf0663,-0.6483399999999999,-0.71427,-0.4967,-0.7802,-0.35825,Y,Y,N,N,0.0,0.0,N,N,1,99
492,LOGQ,rf0684,6.977,7.04902,7.4379100000000005,6.9842,7.64675,N,N,Y,N,0.03417,0.0,N,N,2,0
493,LOGZ,rf0684,0.11642999999999999,-0.15388,0.19554000000000002,-0.33188,0.26147,Y,Y,N,N,0.0,0.00299,N,N,2,215
494,LOGQ,rf0693,7.49552,7.4163,7.675560000000001,7.33708,7.884410000000001,Y,Y,N,N,0.0,0.0,N,N,1,72
495,LOGZ,rf0693,-0.60878,-0.67471,-0.42418,-0.7538199999999999,-0.2198,Y,Y,N,N,0.0,0.0,N,N,1,105
496,LOGQ,rf0695,7.18585,7.12823,7.32268,7.07062,7.452310000000001,Y,Y,N,N,2.9999999999999997e-05,0.0,N,N,1,29
497,LOGZ,rf0695,-0.4044,-0.49011000000000005,-0.30551,-0.56263,-0.18684,Y,Y,N,N,0.0,0.0,N,N,1,136
498,LOGQ,rf0701,7.149839999999999,7.09943,7.358689999999999,7.027410000000001,7.60354,Y,Y,N,N,0.0020399999999999997,0.0,N,N,1,24
499,LOGZ,rf0701,-0.49011000000000005,-0.55604,-0.27914,-0.64175,-0.022019999999999998,Y,Y,N,N,0.0,0.0,N,N,1,123
500,LOGQ,rf0707,6.977,6.9986,7.18585,-inf,7.31548,N,Y,Y,N,0.09942999999999999,0.0,N,N,1,0
501,LOGZ,rf0707,-0.35166,-0.42418,-0.19343,-0.4967,-0.054979999999999994,Y,Y,N,N,0.0,0.0,N,N,1,144
502,LOGQ,rf0713,7.09943,7.04902,7.26507,6.9986,7.473910000000001,Y,Y,N,N,0.01181,0.0,N,N,1,17
503,LOGZ,rf0713,-0.5033,-0.57582,-0.35166,-0.6483399999999999,-0.1341,Y,Y,N,N,0.0,0.0,N,N,1,121
504,LOGQ,rf0730,6.977,6.9986,7.28667,-inf,7.5819399999999995,N,Y,Y,N,0.08804,0.0,N,N,1,0
505,LOGZ,rf0730,-0.25936,-0.3187,0.03732,-0.411,0.20873000000000003,Y,Y,N,N,0.0,0.00037,N,N,1,158
506,LOGQ,rf0745,7.75478,7.668360000000001,8.035639999999999,7.56033,8.32371,Y,Y,N,N,0.0,0.0001,N,N,1,108
507,LOGZ,rf0745,-0.71427,-0.78679,-0.49011000000000005,-0.8659,-0.23958000000000002,Y,Y,N,N,0.0,0.0,N,N,1,89
508,LOGQ,rf0783,7.31548,7.243460000000001,7.48112,7.157039999999999,7.661160000000001,Y,Y,N,N,0.0,0.0,N,N,1,47
509,LOGZ,rf0783,-0.4967,-0.57582,-0.32529,-0.66152,-0.14728,Y,Y,N,N,0.0,0.0,N,N,1,122
510,LOGQ,rf0795,7.2290600000000005,7.1642399999999995,7.459510000000001,7.092230000000001,7.63235,Y,Y,N,N,1e-05,0.0,N,N,1,35
511,LOGZ,rf0795,-0.46374,-0.51648,-0.26595,-0.589,-0.09454,Y,Y,N,N,0.0,0.0,N,N,1,127
512,LOGQ,rs0001,7.4019,7.33708,7.574739999999999,7.27227,7.69716,Y,Y,N,N,0.0,0.0,N,N,1,59
513,LOGZ,rs0001,-0.48352,-0.54945,-0.33848,-0.61537,-0.20661999999999997,Y,Y,N,N,0.0,0.0,N,N,1,124
514,LOGQ,rs0002,7.07062,7.034610000000001,7.257860000000001,6.9842,7.452310000000001,Y,Y,N,N,0.02628,0.0,N,N,1,13
515,LOGZ,rs0002,-0.35825,-0.42418,-0.20002999999999999,-0.4967,-0.0418,Y,Y,N,N,0.0,0.0,N,N,1,143
516,LOGQ,rs0003,7.257860000000001,7.18585,7.445110000000001,7.11383,7.5891399999999996,Y,Y,N,N,0.0,0.0,N,N,1,39
517,LOGZ,rs0003,-0.411,-0.47033,-0.23958000000000002,-0.54285,-0.11432,Y,Y,N,N,0.0,0.0,N,N,1,135
518,LOGQ,rs0010,7.17865,7.12103,7.30828,7.06342,7.4091,Y,Y,N,N,5.9999999999999995e-05,0.0,N,N,1,28
519,LOGZ,rs0010,-0.38463,-0.42418,-0.25936,-0.48352,-0.16047,Y,Y,N,N,0.0,0.0,N,N,1,139
520,LOGQ,rs0011,7.243460000000001,7.149839999999999,7.4091,7.07782,7.59634,Y,Y,N,N,0.0001,0.0,N,N,2,37
521,LOGZ,rs0011,-0.39781,-0.48352,-0.23958000000000002,-0.56263,-0.07476000000000001,Y,Y,N,N,0.0,0.0,N,N,1,137
522,LOGQ,rs0012,7.2290600000000005,7.1642399999999995,7.466710000000001,7.092230000000001,7.63235,Y,Y,N,N,1e-05,0.0,N,N,1,35
523,LOGZ,rs0012,-0.43737,-0.49011000000000005,-0.2264,-0.56263,-0.07476000000000001,Y,Y,N,N,0.0,0.0,N,N,1,131
524,LOGQ,rs0013,7.09943,7.05622,7.26507,7.00581,7.4235,Y,Y,N,N,0.00765,0.0,N,N,1,17
525,LOGZ,rs0013,-0.43078,-0.49011000000000005,-0.27914,-0.55604,-0.1275,Y,Y,N,N,0.0,0.0,N,N,1,132
526,LOGQ,rs0017,6.9914,7.027410000000001,7.34428,6.9842,7.55313,N,Y,Y,N,0.04562,0.0,N,N,1,2
527,LOGZ,rs0017,0.057089999999999995,-0.08135,0.16917000000000001,-0.20002999999999999,0.25488,Y,Y,N,N,0.0,0.00235,N,N,1,206
528,LOGQ,rs0019,7.49552,7.21465,7.61074,7.0202100000000005,7.733169999999999,Y,Y,N,N,0.00744,0.0,N,N,1,72
529,LOGZ,rs0019,0.18236,-0.015430000000000001,0.20873000000000003,-0.23299,0.25488,Y,Y,N,N,0.0,0.00047000000000000004,N,N,1,225
530,LOGQ,rs0020,7.26507,7.142639999999999,7.452310000000001,7.041810000000001,7.675560000000001,Y,Y,N,N,0.00235,0.0,N,N,1,40
531,LOGZ,rs0020,-0.45055,-0.5362600000000001,-0.27255,-0.62856,-0.07476000000000001,Y,Y,N,N,0.0,0.0,N,N,1,129
532,LOGQ,rs0023,7.62515,7.11383,7.725969999999999,6.9914,7.8628,Y,Y,N,N,0.01984,0.0,N,N,3,90
533,LOGZ,rs0023,0.12302,-0.36485,0.13621,-0.5033,0.18895,Y,Y,N,N,0.0,0.0,N,N,3,216
534,LOGQ,rs0030,7.22186,7.12823,7.38749,7.05622,7.53153,Y,Y,N,N,0.00033,0.0,N,N,1,34
535,LOGZ,rs0030,-0.34507,-0.411,-0.18025,-0.48352,-0.061579999999999996,Y,Y,N,N,0.0,0.0,N,N,1,145
536,LOGQ,rs0035,7.61074,7.53153,7.76918,7.445110000000001,7.898810000000001,Y,Y,N,N,0.0,0.0,N,N,1,88
537,LOGZ,rs0035,-0.57582,-0.65493,-0.42418,-0.72745,-0.29233000000000003,Y,Y,N,N,0.0,0.0,N,N,1,110
538,LOGQ,rs0039,7.29387,7.236260000000001,7.4019,7.1642399999999995,7.50992,Y,Y,N,N,0.0,0.0,N,N,1,44
539,LOGZ,rs0039,-0.49011000000000005,-0.55604,-0.37144,-0.62197,-0.25936,Y,Y,N,N,0.0,0.0,N,N,1,123
540,LOGQ,rs0041,7.55313,7.445110000000001,7.942019999999999,7.31548,8.19408,Y,Y,N,N,0.0,5e-05,N,N,1,80
541,LOGZ,rs0041,-0.30551,-0.41758999999999996,-0.07476000000000001,-0.52967,0.03732,Y,Y,N,N,0.0,0.0,N,N,1,151
542,LOGQ,rs0042,7.1642399999999995,7.149839999999999,7.74758,7.041810000000001,7.90601,Y,Y,N,N,0.00139,0.0,N,N,2,26
543,LOGZ,rs0042,0.08347,-0.43078,0.07687000000000001,-0.52967,0.14939000000000002,N,Y,N,N,0.0,0.0,N,N,2,210
544,LOGQ,rs0045,7.08502,7.04902,7.38029,6.9914,7.61074,Y,Y,N,N,0.02255,0.0,N,N,1,15
545,LOGZ,rs0045,-0.3187,-0.38463,-0.07476000000000001,-0.46374,0.09665,Y,Y,N,N,0.0,0.0,N,N,1,149
546,LOGQ,rs0046,7.135439999999999,7.034610000000001,7.28667,6.9842,7.4235,Y,Y,N,N,0.03658,0.0,N,N,2,22
547,LOGZ,rs0046,0.09006,-0.09454,0.12302,-0.25277,0.18236,Y,Y,N,N,0.0,0.0,N,N,1,211
548,LOGQ,rs0047,7.257860000000001,7.17865,7.4307,7.10663,7.70437,Y,Y,N,N,2.9999999999999997e-05,0.0,N,N,1,39
549,LOGZ,rs0047,-0.57582,-0.65493,-0.39121999999999996,-0.74064,-0.11432,Y,Y,N,N,0.0,0.0,N,N,1,110
550,LOGQ,rs0048,6.977,7.05622,7.53153,6.9842,7.725969999999999,N,N,Y,N,0.03069,0.0,N,N,2,0
551,LOGZ,rs0048,0.09665,-0.27255,0.13621,-0.39121999999999996,0.21531999999999998,Y,Y,N,N,0.0,1e-05,N,N,2,212
552,LOGQ,rs0050,6.977,7.041810000000001,7.4091,6.9842,7.61074,N,N,Y,N,0.033319999999999995,0.0,N,N,2,0
553,LOGZ,rs0050,0.057089999999999995,-0.18025,0.12962,-0.29891999999999996,0.22191999999999998,Y,Y,N,N,0.0,5.9999999999999995e-05,N,N,1,206
554,LOGQ,rs0051,6.9842,7.00581,7.2290600000000005,-inf,7.3730899999999995,N,Y,Y,N,0.06727999999999999,0.0,N,N,1,1
555,LOGZ,rs0051,-0.1275,-0.25277,-0.015430000000000001,-0.33848,0.08347,Y,Y,N,N,0.0,0.0,N,N,2,178
556,LOGQ,rs0052,7.04902,7.034610000000001,7.365889999999999,6.9842,7.53873,Y,Y,N,N,0.02957,0.0,N,N,1,10
557,LOGZ,rs0052,-0.32529,-0.38463,-0.06817000000000001,-0.47033,0.06369,Y,Y,N,N,0.0,0.0,N,N,1,148
558,LOGQ,rs0054,7.19305,7.135439999999999,7.32268,7.07782,7.452310000000001,Y,Y,N,N,1e-05,0.0,N,N,1,30
559,LOGZ,rs0054,-0.4967,-0.55604,-0.36485,-0.62197,-0.23299,Y,Y,N,N,0.0,0.0,N,N,1,122
560,LOGQ,rs0062,7.30828,7.250660000000001,7.4163,7.18585,7.517119999999999,Y,Y,N,N,0.0,0.0,N,N,1,46
561,LOGZ,rs0062,-0.47033,-0.5362600000000001,-0.35825,-0.60219,-0.25277,Y,Y,N,N,0.0,0.0,N,N,1,126
562,LOGQ,rs0063,7.12103,7.05622,7.301069999999999,6.9914,7.4379100000000005,Y,Y,N,N,0.01785,0.0,N,N,1,20
563,LOGZ,rs0063,-0.16047,-0.24618,-0.061579999999999996,-0.32529,0.043910000000000005,Y,Y,N,N,0.0,0.0,N,N,1,173
564,LOGQ,rs0064,7.18585,7.04902,7.4163,6.9842,7.668360000000001,Y,Y,N,N,0.03098,0.0,N,N,2,29
565,LOGZ,rs0064,0.03732,-0.18684,0.11642999999999999,-0.29891999999999996,0.21531999999999998,Y,Y,N,N,0.0,8e-05,N,N,2,203
566,LOGQ,rs0065,7.17865,7.10663,7.4091,7.027410000000001,7.62515,Y,Y,N,N,0.0039299999999999995,0.0,N,N,1,28
567,LOGZ,rs0065,-0.35825,-0.42418,-0.16047,-0.5033,0.00435,Y,Y,N,N,0.0,0.0,N,N,1,143
568,LOGQ,rs0068,7.08502,7.041810000000001,7.28667,6.9914,7.53153,Y,Y,N,N,0.01963,0.0,N,N,1,15
569,LOGZ,rs0068,-0.4044,-0.47693,-0.23299,-0.55604,-0.028610000000000003,Y,Y,N,N,0.0,0.0,N,N,1,136
570,LOGQ,rs0070,7.19305,7.135439999999999,7.32988,7.07782,7.452310000000001,Y,Y,N,N,2e-05,0.0,N,N,1,30
571,LOGZ,rs0070,-0.45055,-0.52967,-0.33848,-0.60219,-0.20661999999999997,Y,Y,N,N,0.0,0.0,N,N,1,129
572,LOGQ,rs0077,7.4163,7.2290600000000005,7.65395,7.041810000000001,7.8412,Y,Y,N,N,0.0047,0.0,N,N,1,61
573,LOGZ,rs0077,0.26807,0.12962,0.28125,-0.054979999999999994,inf,Y,Y,N,N,0.0,0.07188,N,N,1,238
574,LOGQ,rs0081,7.18585,7.135439999999999,7.301069999999999,7.07782,7.4091,Y,Y,N,N,0.0,0.0,N,N,1,29
